id,created_at,source,original_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1238252761537445890,Thu Mar 12 23:57:18 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @KareenaUpdates: ""Kareena Kapoor Khan will make you realise the importance of a family. Her role is such that you will find her rude at…",en,0,22,Salman10187534,,,KareenaUpdates,,
1238252754499403777,Thu Mar 12 23:57:16 +0000 2020,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",RT @htshowbiz: #AngreziMedium movie review by @monikarawal: Irrfan is the heart of this father-daughter tale… https://t.co/DAQPcOU5dr,en,1,0,iam_chandni,False,AngreziMedium,"htshowbiz, monikarawal",,Kenya ✈
1238252261731639296,Thu Mar 12 23:55:19 +0000 2020,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","RT @htshowbiz: #AngreziMedium’s Bollywood review is in: Watch @irrfank film with your parents and kids, say Kriti S… https://t.co/lsLBbYH3uP",en,0,0,iam_chandni,False,AngreziMedium,"htshowbiz, irrfank",,Kenya ✈
1238250452833140737,Thu Mar 12 23:48:08 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#IrfanKhan &amp; @KareenaOnline #AngreziMedium releasing @PennCinema from March 13th onwards. Standard ticket prices (N… https://t.co/1WqiPlJFHw,en,0,0,IndianMoviesDE,False,"IrfanKhan, AngreziMedium","KareenaOnline, PennCinema",,"Delaware, USA"
1238249741357584384,Thu Mar 12 23:45:18 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @KareenaUpdates: ""Kareena was in a very secure zone as an actor. She emotionally connected with her character."" - Dinesh Vijan

#Angrezi…",en,0,23,Salman10187534,,,KareenaUpdates,,
1238249675679043585,Thu Mar 12 23:45:02 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @KareenaUpdates: ""In one fabulously enacted sequence we see how angry mom Dimple Kapadia and daughter Kareena Kapoor are with one anothe…",en,0,22,Salman10187534,,,KareenaUpdates,,
1238249627905859584,Thu Mar 12 23:44:51 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @taran_adarsh: #Update: #AngreziMedium is releasing tomorrow [13 March 2020] in #India, as per schedule.",en,0,141,shubham60425622,,"Update, AngreziMedium, India",taran_adarsh,,"Jaipur, India"
1238249086370942976,Thu Mar 12 23:42:42 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @UrvashiRautela: #Angrezimedium Is such a Passionate and a sincere Film!! cherished It!!❤️❤️ Such a Beautifully Skilled Story!! #HomiAda…,en,0,24,vikashmeena28,,Angrezimedium,UrvashiRautela,,
1238244957540007936,Thu Mar 12 23:26:18 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MegaStarKareena: 6.3Million plus views 
#Laadki 
#KareenaKapoorKhan 
#AngreziMedium  

https://t.co/Sd860hRHTL",fr,0,6,KapoorKareena99,False,"Laadki, KareenaKapoorKhan, AngreziMedium",MegaStarKareena,,
1238244850992058368,Thu Mar 12 23:25:52 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @KareenaUpdates: ""Kareena Kapoor Khan as Naina Kohli has a startling screen presence, despite her character’s limited screen time."" - @m…",en,0,20,KapoorKareena99,,,KareenaUpdates,,
1238244837356449792,Thu Mar 12 23:25:49 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @KareenaUpdates: ""Kareena Kapoor Khan is formidable, even when the makers fail to flesh her character."" - @filmibeat

#AngreziMedium #An…",en,0,15,KapoorKareena99,,AngreziMedium,"KareenaUpdates, filmibeat",,
1238244797653155848,Thu Mar 12 23:25:39 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @KareenaUpdates: ""Kareena was in a very secure zone as an actor. She emotionally connected with her character."" - Dinesh Vijan

#Angrezi…",en,0,23,KapoorKareena99,,,KareenaUpdates,,
1238244717667717121,Thu Mar 12 23:25:20 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @KareenaUpdates: ""Kareena agreed (to play this small role) is the film's good fortune because she is a stately presence in a small but i…",en,0,21,KapoorKareena99,,,KareenaUpdates,,
1238243899166072834,Thu Mar 12 23:22:05 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#AngreziMedium 
كوميدي درامي جميل ، بطولة عرفان خان و راديكا مادان ، قصة صاحب متجر متواضع يغامر لتحقيق حلم ابنته، س… https://t.co/UqyuoKCz1o",ar,7,0,ArabicCritic,False,AngreziMedium,,,
1238240326420058112,Thu Mar 12 23:07:53 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @KareenaUpdates: ""Kareena Kapoor Khan is formidable, even when the makers fail to flesh her character."" - @filmibeat

#AngreziMedium #An…",en,0,15,KiaMeeow,,AngreziMedium,"KareenaUpdates, filmibeat",,
1238240261316038656,Thu Mar 12 23:07:38 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @KareenaUpdates: ""Kareena was in a very secure zone as an actor. She emotionally connected with her character."" - Dinesh Vijan

#Angrezi…",en,0,23,KiaMeeow,,,KareenaUpdates,,
1238240213949763584,Thu Mar 12 23:07:27 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @KareenaUpdates: ""Kareena agreed (to play this small role) is the film's good fortune because she is a stately presence in a small but i…",en,0,21,KiaMeeow,,,KareenaUpdates,,
1238238617077723144,Thu Mar 12 23:01:06 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @varunsharma90: #Angrezimedium Is such a Soulful and an Honest Film!! Loved  loved Loved It!!❤️❤️ Such a Beautifully Crafted Story!! #Ho…,en,0,8,USTamilLLC,,Angrezimedium,varunsharma90,,"Dallas, Texas, USA"
1238238594491387904,Thu Mar 12 23:01:00 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @UrvashiRautela: #Angrezimedium Is such a Passionate and a sincere Film!! cherished It!!❤️❤️ Such a Beautifully Skilled Story!! #HomiAda…,en,0,24,USTamilLLC,,Angrezimedium,UrvashiRautela,,"Dallas, Texas, USA"
