polarity,subjectivity,created_at,location
-0.3,0.6,Thu Mar 12 23:57:18 +0000 2020,
0.0,0.0,Thu Mar 12 23:57:16 +0000 2020,Kenya ✈
0.0,0.0,Thu Mar 12 23:55:19 +0000 2020,Kenya ✈
0.0,0.0,Thu Mar 12 23:48:08 +0000 2020,"Delaware, USA"
0.2,0.625,Thu Mar 12 23:45:18 +0000 2020,
-0.04999999999999999,1.0,Thu Mar 12 23:45:02 +0000 2020,
0.0,0.0,Thu Mar 12 23:44:51 +0000 2020,"Jaipur, India"
0.2375,0.5875,Thu Mar 12 23:42:42 +0000 2020,
0.0,0.0,Thu Mar 12 23:26:18 +0000 2020,
-0.2857142857142857,0.3214285714285714,Thu Mar 12 23:25:52 +0000 2020,
-0.5,0.29999999999999993,Thu Mar 12 23:25:49 +0000 2020,
0.2,0.625,Thu Mar 12 23:25:39 +0000 2020,
0.06666666666666665,0.4666666666666666,Thu Mar 12 23:25:20 +0000 2020,
0.0,0.0,Thu Mar 12 23:22:05 +0000 2020,
-0.5,0.29999999999999993,Thu Mar 12 23:07:53 +0000 2020,
0.2,0.625,Thu Mar 12 23:07:38 +0000 2020,
0.06666666666666665,0.4666666666666666,Thu Mar 12 23:07:27 +0000 2020,
0.5916666666666667,0.7999999999999999,Thu Mar 12 23:01:06 +0000 2020,"Dallas, Texas, USA"
0.2375,0.5875,Thu Mar 12 23:01:00 +0000 2020,"Dallas, Texas, USA"
0.8,0.4,Thu Mar 12 23:00:49 +0000 2020,"Dallas, Texas, USA"
0.4,0.75,Thu Mar 12 22:59:22 +0000 2020,"Dallas, Texas, USA"
1.0,1.0,Thu Mar 12 22:57:07 +0000 2020,"New Delhi, India"
0.9,1.0,Thu Mar 12 22:54:07 +0000 2020,
0.9,1.0,Thu Mar 12 22:52:17 +0000 2020,"Kota ,india"
0.0,0.0,Thu Mar 12 22:30:17 +0000 2020,"Birmingham, England"
0.35714285714285715,0.5714285714285714,Thu Mar 12 22:23:43 +0000 2020,sarun World
0.0,0.0,Thu Mar 12 22:07:36 +0000 2020,"ÜT: 28.59007,77.31769"
0.0,0.0,Thu Mar 12 22:07:03 +0000 2020,
0.0,0.0,Thu Mar 12 21:58:58 +0000 2020,
0.0,0.0,Thu Mar 12 21:58:39 +0000 2020,
0.25,0.9444444444444444,Thu Mar 12 21:53:19 +0000 2020,India
0.0,0.0,Thu Mar 12 21:52:59 +0000 2020,India
1.0,1.0,Thu Mar 12 21:25:36 +0000 2020,
1.0,1.0,Thu Mar 12 21:24:27 +0000 2020,Germany
1.0,1.0,Thu Mar 12 21:23:54 +0000 2020,
0.5047619047619047,0.6666666666666666,Thu Mar 12 21:23:02 +0000 2020,
-0.3,0.6,Thu Mar 12 21:21:36 +0000 2020,
-0.04999999999999999,1.0,Thu Mar 12 21:21:21 +0000 2020,
-0.5,0.29999999999999993,Thu Mar 12 21:21:08 +0000 2020,
-0.04999999999999999,1.0,Thu Mar 12 21:21:02 +0000 2020,
